id,full_name,owner,name,bleu,rouge1,rouge2,rougeL,rougeLsum,chrf,bertscoref1,gte,avg_gte_match,uncovered_golden,gen_files_count,gen_empty_files_count,gen_dirs_count,gen_empty_dirs_count,gen_file_tree_depth,gen_has_root_dir,golden_files_count,golden_empty_files_count,golden_dirs_count,golden_empty_dirs_count,golden_file_tree_depth,golden_has_root_dir
6,aaronleetw/flask-boilerplate,aaronleetw,flask-boilerplate,1.3511016972911007e-11,0.058793014006570984,0.03770973879951566,0.04150095106346186,0.058793014006570984,3.781613398983133,0.7895675301551819,0.8657553195953369,0.9455264918506145,0.7142857142857143,17,11,7,0,4,True,29,1,12,0,2,False
14,adilkhash/django-telegram-auth-example,adilkhash,django-telegram-auth-example,0.4316929423178708,0.6482758620689655,0.5005753739930956,0.5540229885057472,0.6436781609195402,59.827886359335714,0.7491441965103149,0.8782413005828857,0.945601798593998,0.5,16,3,5,0,3,True,13,1,4,0,1,False
158,Binacy/discord-http-interaction-bot,Binacy,discord-http-interaction-bot,2.550516898369974e-08,0.07651841224294595,0.01914791766395405,0.03730272596843616,0.07651841224294595,4.293942575260602,0.7635759711265564,0.8479635715484619,0.9316845536231995,0.75,10,6,4,0,2,False,13,0,4,0,2,False
440,ido-ran/google-photos-api-python-quickstart,ido-ran,google-photos-api-python-quickstart,0.020034714065749935,0.18823529411764708,0.08605072463768117,0.11312217194570134,0.18733031674208145,14.988094927802182,0.7864811420440674,0.7771246433258057,0.9393127461274465,0.3333333333333333,7,0,3,0,2,True,4,0,1,0,0,False
565,m0kr4n3/fastapi_project_template,m0kr4n3,fastapi_project_template,9.432566175834608e-06,0.13631234484315052,0.05554301196658387,0.055517941773865945,0.1358609794628752,8.325609453743898,0.8243558406829834,0.9156697988510132,0.9441683755980598,0.8285714285714286,9,0,9,3,4,True,38,0,11,0,4,False
591,MaxHalford/taxi-demo-rp-mz-rv-rd-st,MaxHalford,taxi-demo-rp-mz-rv-rd-st,7.95799124990485e-08,0.10191925876902715,0.030898256455528583,0.04632693580410324,0.10147804985660712,6.008195271857075,0.7707937359809875,0.928325355052948,0.9344056665897369,0.7391304347826086,11,0,6,0,2,True,28,0,6,0,1,False
592,mayflower/cloudbot,mayflower,cloudbot,1.619027901698961e-11,0.04034653465346535,0.0076751671205743995,0.02178217821782178,0.0400990099009901,2.74345763298059,0.7615145444869995,0.8199890851974487,0.9053360919157664,0.75,13,0,5,0,3,True,20,0,2,0,1,False
841,rohankishore/Spotifyte,rohankishore,Spotifyte,3.4651458819511563e-10,0.061915645127778925,0.018707129494907503,0.03448992312487015,0.061915645127778925,3.7417849398495804,0.7499510049819946,0.7179445028305054,0.9317954540252685,0.6923076923076923,11,0,3,0,2,False,17,0,7,0,3,False
875,scivision/pybluez-examples,scivision,pybluez-examples,,,,,,,,,0.931357571056911,0.75,8,8,4,0,2,False,5,0,1,0,0,False
906,slack-samples/bolt-python-starter-template,slack-samples,bolt-python-starter-template,,,,,,,,,0.9489636182785034,0.9047619047619048,7,7,3,0,2,True,23,0,9,0,2,False
